step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
70,25592,280,1.7638130506659697,0.0,0.417910447761194
71,26140,284,1.111236646755092,0.0,0.46296296296296297
72,26528,288,1.6481549601201504,0.0,0.4715447154471545
73,26820,292,1.5812075396673229,0.0,0.47191011235955055
74,27176,296,1.4334300476907778,0.0,0.45251396648044695
75,27404,300,1.9798909944706506,0.0,0.34210526315789475
76,27728,304,1.6464242507173368,0.0,0.4696969696969697
77,28244,308,1.0479651210952123,0.0,0.49523809523809526
78,28600,312,1.4283966031533881,0.0,0.4277456647398844
79,28860,316,1.6573012275052088,0.0,0.42038216560509556
80,29184,320,1.5822754279655908,0.0,0.40625
81,29444,324,1.5929853506392804,0.0,0.43478260869565216
82,29896,328,1.1880618727475016,0.0,0.4675925925925926
83,30124,332,1.2719531636861354,0.0,0.5
84,30512,336,1.4039714744876013,0.0,0.4530386740331492
85,30804,340,1.5180897441637837,0.0,0.41875
86,31224,344,1.38429335441593,0.0,0.43612334801762115
87,31644,348,1.388412396255021,0.0,0.48878923766816146
88,32000,352,1.3531309935291518,0.0,0.378698224852071
89,32452,356,1.79241067137614,0.0,0.40074906367041196
90,33000,360,1.4836360670107172,0.0,0.4557377049180328
91,33324,364,1.8674719338416765,0.0,0.3686868686868687
92,33616,368,1.3667040309179477,0.0,0.4222222222222222
93,34004,372,1.166813235200099,0.0,0.4177215189873418
94,34264,376,1.4902021502318805,0.0,0.37681159420289856
95,34588,380,1.4695985317368832,0.0,0.46774193548387094
96,34912,384,1.2444821950693243,0.0,0.4338235294117647
97,35396,388,1.515325959697658,0.0,0.3975409836065574
98,35816,392,1.8996461348981954,0.0,0.42105263157894735
99,36140,396,1.8584778752611673,0.0,0.4362745098039216
100,36688,400,0.9988456878737528,0.0,0.4788732394366197
101,37044,404,1.7092192361800367,0.0,0.4072398190045249
102,37304,408,1.5013530002958906,0.0,0.44525547445255476
103,37564,412,1.4408889844251735,0.0,0.45806451612903226
104,37856,416,1.907102092862551,0.0,0.41232227488151657
105,38244,420,1.2655677491373403,0.0,0.3888888888888889
106,38600,424,1.363035202428015,0.0,0.46632124352331605
107,38860,428,1.4369886388041073,0.0,0.45864661654135336
108,39248,432,1.5854500021290943,0.0,0.4666666666666667
109,39604,436,1.7302875654201955,0.0,0.41284403669724773
110,39960,440,1.838444326949939,0.0,0.40789473684210525
111,40284,444,1.3518007675651516,0.0,0.4808743169398907
