step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
188,16720,752,0.21905259556712733,0.0,0.0,,,,,
189,16820,756,0.13024244297459064,0.5,0.5,,,,,
190,16952,760,0.12758070844675332,0.0,0.0,,,,,
191,17052,764,0.14269069948720473,0.25,0.25,,,,,
192,17152,768,0.20538257508566557,0.25,0.25,,,,,
193,17252,772,0.1492969015475501,0.25,0.25,0.22621806507853304,0.0,0.0,,
194,17352,776,0.15316948104604913,0.25,0.25,,,,,
195,17452,780,0.13343374997264162,0.5,0.5,,,,,
196,17520,784,0.2694966381122094,0.25,0.25,,,,,
197,17620,788,0.19456760204911008,0.0,0.0,,,,,
198,17720,792,0.12118273855769984,0.5,0.5,,,,,
199,17820,796,0.14663755981354523,0.5,0.5,,,,,
200,17920,800,0.09210728261252522,0.5,0.5,,,,,
201,18020,804,0.22997106973004214,0.0,0.0,0.1531128758217642,0.25,0.25,,
202,18120,808,0.11260106148768802,0.25,0.25,,,,,
203,18188,812,0.29428889745047854,0.0,0.0,,,,,
204,18256,816,0.20388216133937248,0.25,0.25,,,,,
205,18324,820,0.2382246122905553,0.25,0.25,,,,,
206,18392,824,0.23163795075581903,0.25,0.25,,,,,
207,18460,828,0.2776606539416843,0.0,0.0,,,,,
208,18560,832,0.13752883988897943,0.25,0.25,,,,,
209,18660,836,0.1564623299802709,0.25,0.25,0.25252287822635483,0.5,0.5,,
210,18760,840,0.11518772662707609,0.25,0.25,,,,,
211,18860,844,0.15423589561422887,0.0,0.0,,,,,
212,18928,848,0.20583543916097366,0.0,0.0,,,,,
213,19028,852,0.1618660026459141,0.25,0.25,,,,,
214,19128,856,0.09503430398292949,0.75,0.75,,,,,
215,19228,860,0.14036948320808126,0.25,0.25,,,,,
216,19328,864,0.13947539925398816,0.25,0.25,,,,,
217,19396,868,0.16520362456306428,0.5,0.5,0.21894926292803574,0.25,0.25,,
218,19496,872,0.14146296845949263,0.25,0.25,,,,,
219,19564,876,0.2437666327947909,0.25,0.25,,,,,
220,19632,880,0.12245804043042882,0.75,0.75,,,,,
221,19732,884,0.14312727860227523,0.25,0.25,,,,,
222,19800,888,0.24375225887937066,0.0,0.0,,,,,
223,19900,892,0.13362711717185294,0.5,0.5,,,,,
224,19968,896,0.06392557747267576,0.75,0.75,,,,,
225,20068,900,0.12611628904548372,0.5,0.5,0.2105882727019025,0.25,0.25,,
226,20168,904,0.10006650372440468,0.5,0.5,,,,,
227,20268,908,0.14123511761021898,0.25,0.25,,,,,
